Cliente,Tipo de Cliente,Itens,Vendas líquidas,Método de Pagamento,Gênero,Estado Civil,Idade
1,Regular,1,"39,5",Discover,Masculino,Casado,32
2,Promocional,1,"102,4",Cartão Proprietário,Feminino,Casado,36
3,Regular,1,"22,5",Cartão Proprietário,Feminino,Casado,32
4,Promocional,5,"100,4",Cartão Proprietário,Feminino,Casado,28
5,Regular,2,54,MasterCard,Feminino,Casado,34
6,Regular,1,"44,5",MasterCard,Feminino,Casado,44
7,Promocional,2,78,Cartão Proprietário,Feminino,Casado,30
8,Regular,1,"22,5",Visa,Feminino,Casado,40
9,Promocional,2,"56,52",Cartão Proprietário,Feminino,Casado,46
10,Regular,1,"44,5",Cartão Proprietário,Feminino,Casado,36
11,Regular,1,"29,5",Cartão Proprietário,Feminino,Casado,48
12,Promocional,1,"31,6",Cartão Proprietário,Feminino,Casado,40
13,Promocional,9,"160,4",Visa,Feminino,Casado,40
14,Promocional,2,"64,5",Visa,Feminino,Casado,46
15,Regular,1,"49,5",Visa,Masculino,Solteiro,24
16,Promocional,2,"71,4",Cartão Proprietário,Masculino,Solteiro,36
17,Promocional,3,94,Cartão Proprietário,Feminino,Solteiro,22
18,Regular,3,"54,5",Discover,Feminino,Casado,40
19,Promocional,2,"38,5",MasterCard,Feminino,Casado,32
20,Promocional,6,"44,8",Cartão Proprietário,Feminino,Casado,56
21,Promocional,1,"31,6",Cartão Proprietário,Feminino,Solteiro,28
22,Promocional,4,"70,82",Cartão Proprietário,Feminino,Casado,38
23,Promocional,7,266,American Express,Feminino,Casado,50
24,Regular,2,74,Cartão Proprietário,Feminino,Casado,42
25,Promocional,2,"39,5",Visa,Masculino,Casado,48
26,Promocional,1,"30,02",Cartão Proprietário,Feminino,Casado,60
27,Regular,1,"44,5",Cartão Proprietário,Feminino,Casado,54
28,Promocional,5,"192,8",Cartão Proprietário,Feminino,Solteiro,42
29,Promocional,3,"71,2",Cartão Proprietário,Feminino,Casado,32
30,Promocional,1,18,Cartão Proprietário,Feminino,Casado,70
31,Promocional,2,"63,2",MasterCard,Feminino,Casado,28
32,Regular,1,75,Cartão Proprietário,Feminino,Casado,52
33,Promocional,3,"63,2",Cartão Proprietário,Feminino,Casado,44
34,Regular,1,40,Cartão Proprietário,Feminino,Casado,34
35,Promocional,5,"105,5",MasterCard,Feminino,Casado,56
36,Regular,1,"29,5",MasterCard,Masculino,Solteiro,36
37,Regular,2,"102,5",Visa,Feminino,Solteiro,42
38,Promocional,6,"117,5",Cartão Proprietário,Feminino,Casado,50
39,Promocional,5,"13,23",Cartão Proprietário,Feminino,Casado,44
40,Regular,2,"52,5",Cartão Proprietário,Feminino,Casado,58
41,Promocional,13,"198,8",Cartão Proprietário,Feminino,Casado,42
42,Promocional,4,"19,5",Visa,Feminino,Casado,46
43,Regular,2,"123,5",Cartão Proprietário,Feminino,Casado,48
44,Promocional,1,"62,4",Cartão Proprietário,Feminino,Casado,54
45,Promocional,2,"23,8",Cartão Proprietário,Feminino,Casado,38
46,Promocional,2,"39,6",Cartão Proprietário,Feminino,Casado,60
47,Regular,1,25,MasterCard,Feminino,Casado,46
48,Promocional,3,"63,64",Cartão Proprietário,Feminino,Casado,30
49,Promocional,1,"14,82",Cartão Proprietário,Feminino,Casado,32
50,Promocional,9,"145,2",MasterCard,Feminino,Casado,46
51,Promocional,6,"176,62",Cartão Proprietário,Feminino,Casado,38
52,Promocional,5,"118,8",Cartão Proprietário,Masculino,Casado,68
53,Regular,1,58,Discover,Feminino,Solteiro,78
54,Regular,2,74,Visa,Feminino,Solteiro,20
55,Regular,2,"49,5",MasterCard,Feminino,Casado,32
56,Promocional,3,"141,6",Cartão Proprietário,Feminino,Casado,38
57,Promocional,6,"123,1",Cartão Proprietário,Feminino,Casado,54
58,Promocional,2,"80,4",Cartão Proprietário,Feminino,Casado,48
59,Promocional,4,"65,2",MasterCard,Feminino,Casado,46
60,Promocional,4,113,Cartão Proprietário,Feminino,Solteiro,50
61,Promocional,1,"108,8",Cartão Proprietário,Feminino,Casado,46
62,Promocional,3,"59,91",Cartão Proprietário,Feminino,Solteiro,30
63,Promocional,5,"53,6",Cartão Proprietário,Feminino,Casado,54
64,Promocional,1,"31,6",Cartão Proprietário,Feminino,Solteiro,42
65,Promocional,2,"49,5",Cartão Proprietário,Feminino,Casado,48
66,Promocional,1,"39,6",Cartão Proprietário,Feminino,Casado,62
67,Promocional,2,"59,5",Cartão Proprietário,Feminino,Casado,34
68,Promocional,5,"146,8",Cartão Proprietário,Feminino,Casado,28
69,Promocional,2,"47,2",Cartão Proprietário,Masculino,Casado,46
70,Promocional,8,"95,05",Cartão Proprietário,Feminino,Casado,54
71,Promocional,5,"155,32",Cartão Proprietário,Feminino,Casado,30
72,Promocional,4,58,MasterCard,Feminino,Casado,32
73,Regular,1,69,Cartão Proprietário,Feminino,Solteiro,22
74,Promocional,2,"46,5",Cartão Proprietário,Feminino,Casado,32
75,Promocional,2,"45,22",Cartão Proprietário,Feminino,Casado,74
76,Promocional,4,"84,74",Cartão Proprietário,Feminino,Casado,62
77,Regular,2,39,Cartão Proprietário,Feminino,Casado,42
78,Promocional,4,"111,14",Cartão Proprietário,Feminino,Casado,28
