"","PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Survived"
"1",1,3,"male",22,1,0,7.25,"S",0
"2",2,1,"female",38,1,0,71.2833,"C",1
"3",3,3,"female",26,0,0,7.925,"S",1
"4",4,1,"female",35,1,0,53.1,"S",1
"5",5,3,"male",35,0,0,8.05,"S",0
"6",6,3,"male",NA,0,0,8.4583,"Q",NA
"7",7,1,"male",54,0,0,51.8625,"S",0
"8",8,3,"male",2,3,1,21.075,"S",0
"9",9,3,"female",27,0,2,11.1333,"S",0
"10",10,2,"female",14,1,0,30.0708,"C",1
"11",11,3,"female",4,1,1,16.7,"S",1
"12",12,1,"female",58,0,0,26.55,"S",1
"13",13,3,"male",20,0,0,8.05,"S",0
"14",14,3,"male",39,1,5,31.275,"S",0
"15",15,3,"female",14,0,0,7.8542,"S",1
"16",16,2,"female",55,0,0,16,"S",1
"17",17,3,"male",2,4,1,29.125,"Q",0
"18",18,2,"male",NA,0,0,13,"S",NA
"19",19,3,"female",31,1,0,18,"S",0
"20",20,3,"female",NA,0,0,7.225,"C",NA
"21",21,2,"male",35,0,0,26,"S",0
"22",22,2,"male",34,0,0,13,"S",0
"23",23,3,"female",15,0,0,8.0292,"Q",1
"24",24,1,"male",28,0,0,35.5,"S",0
"25",25,3,"female",8,3,1,21.075,"S",0
"26",26,3,"female",38,1,5,31.3875,"S",0
"27",27,3,"male",NA,0,0,7.225,"C",NA
"28",28,1,"male",19,3,2,263,"S",0
"29",29,3,"female",NA,0,0,7.8792,"Q",NA
"30",30,3,"male",NA,0,0,7.8958,"S",NA
"31",31,1,"male",40,0,0,27.7208,"C",0
"32",32,1,"female",NA,1,0,146.5208,"C",NA
"33",33,3,"female",NA,0,0,7.75,"Q",NA
"34",34,2,"male",66,0,0,10.5,"S",0
"35",35,1,"male",28,1,0,82.1708,"C",0
"36",36,1,"male",42,1,0,52,"S",0
"37",37,3,"male",NA,0,0,7.2292,"C",NA
"38",38,3,"male",21,0,0,8.05,"S",0
"39",39,3,"female",18,2,0,18,"S",0
"40",40,3,"female",14,1,0,11.2417,"C",1
"41",41,3,"female",40,1,0,9.475,"S",0
"42",42,2,"female",27,1,0,21,"S",1
"43",43,3,"male",NA,0,0,7.8958,"C",NA
"44",44,2,"female",3,1,2,41.5792,"C",1
"45",45,3,"female",19,0,0,7.8792,"Q",1
"46",46,3,"male",NA,0,0,8.05,"S",NA
"47",47,3,"male",NA,1,0,15.5,"Q",NA
"48",48,3,"female",NA,0,0,7.75,"Q",NA
"49",49,3,"male",NA,2,0,21.6792,"C",NA
"50",50,3,"female",18,1,0,17.8,"S",1
"51",51,3,"male",7,4,1,39.6875,"S",0
"52",52,3,"male",21,0,0,7.8,"S",0
"53",53,1,"female",49,1,0,76.7292,"C",1
"54",54,2,"female",29,1,0,26,"S",1
"55",55,1,"male",65,0,1,61.9792,"C",0
"56",56,1,"male",NA,0,0,35.5,"S",NA
"57",57,2,"female",21,0,0,10.5,"S",1
"58",58,3,"male",28.5,0,0,7.2292,"C",0
"59",59,2,"female",5,1,2,27.75,"S",1
"60",60,3,"male",11,5,2,46.9,"S",0
"61",61,3,"male",22,0,0,7.2292,"C",0
"62",62,1,"female",38,0,0,80,"",1
"63",63,1,"male",45,1,0,83.475,"S",0
"64",64,3,"male",4,3,2,27.9,"S",0
"65",65,1,"male",NA,0,0,27.7208,"C",NA
"66",66,3,"male",NA,1,1,15.2458,"C",NA
"67",67,2,"female",29,0,0,10.5,"S",1
"68",68,3,"male",19,0,0,8.1583,"S",0
"69",69,3,"female",17,4,2,7.925,"S",0
"70",70,3,"male",26,2,0,8.6625,"S",0
"71",71,2,"male",32,0,0,10.5,"S",0
"72",72,3,"female",16,5,2,46.9,"S",0
"73",73,2,"male",21,0,0,73.5,"S",0
"74",74,3,"male",26,1,0,14.4542,"C",0
"75",75,3,"male",32,0,0,56.4958,"S",0
"76",76,3,"male",25,0,0,7.65,"S",0
"77",77,3,"male",NA,0,0,7.8958,"S",NA
"78",78,3,"male",NA,0,0,8.05,"S",NA
"79",79,2,"male",0.83,0,2,29,"S",0
"80",80,3,"female",30,0,0,12.475,"S",0
"81",81,3,"male",22,0,0,9,"S",0
"82",82,3,"male",29,0,0,9.5,"S",0
"83",83,3,"female",NA,0,0,7.7875,"Q",NA
"84",84,1,"male",28,0,0,47.1,"S",0
"85",85,2,"female",17,0,0,10.5,"S",1
"86",86,3,"female",33,3,0,15.85,"S",0
"87",87,3,"male",16,1,3,34.375,"S",0
"88",88,3,"male",NA,0,0,8.05,"S",NA
"89",89,1,"female",23,3,2,263,"S",1
"90",90,3,"male",24,0,0,8.05,"S",0
"91",91,3,"male",29,0,0,8.05,"S",0
"92",92,3,"male",20,0,0,7.8542,"S",0
